agent_id,initial_state,is_influential,prob_share,prob_skeptic,prob_educate,prob_convince
36,SUSCEPTIBLE,False,0.0659,0.0716,0.0416,0.0125
37,SUSCEPTIBLE,False,0.0455,0.1077,0.0301,0.0102
38,SUSCEPTIBLE,False,0.0308,0.0969,0.0178,0.008
39,SUSCEPTIBLE,False,0.0791,0.1656,0.0319,0.0115
40,SUSCEPTIBLE,False,0.0342,0.1477,0.0145,0.0117
41,SUSCEPTIBLE,False,0.0241,0.0749,0.018,0.0108
42,SUSCEPTIBLE,False,0.0621,0.0807,0.0282,0.0192
43,SUSCEPTIBLE,False,0.0972,0.1314,0.0378,0.0167
44,BELIEVE,False,0.0979,0.1733,0.0259,0.0174
45,SUSCEPTIBLE,True,0.0272,0.1498,0.03,0.0078
46,SUSCEPTIBLE,False,0.0202,0.1836,0.0375,0.0148
47,SUSCEPTIBLE,False,0.0502,0.0713,0.0128,0.0067
48,SUSCEPTIBLE,False,0.064,0.0917,0.0158,0.0135
49,SUSCEPTIBLE,False,0.0596,0.0558,0.0274,0.0061
50,SUSCEPTIBLE,False,0.036,0.134,0.0139,0.0163
51,SUSCEPTIBLE,False,0.0586,0.0792,0.0142,0.0095
52,SUSCEPTIBLE,False,0.0799,0.1925,0.0161,0.0072
53,SUSCEPTIBLE,False,0.073,0.1109,0.0405,0.0116
54,BELIEVE,False,0.0625,0.1223,0.0416,0.0178
55,SUSCEPTIBLE,False,0.0891,0.1727,0.0193,0.0118
56,SUSCEPTIBLE,False,0.0999,0.061,0.046,0.0177
57,SUSCEPTIBLE,False,0.0438,0.119,0.0294,0.0063
58,SUSCEPTIBLE,False,0.0619,0.1363,0.0283,0.0086
59,SUSCEPTIBLE,False,0.0374,0.1172,0.0296,0.0124
60,SUSCEPTIBLE,False,0.0513,0.059,0.0385,0.0055
61,SUSCEPTIBLE,False,0.0263,0.1061,0.0256,0.0134
62,SUSCEPTIBLE,False,0.0538,0.1132,0.0214,0.0113
63,SUSCEPTIBLE,False,0.0919,0.1527,0.0362,0.0153
64,SUSCEPTIBLE,False,0.0403,0.065,0.0442,0.0198
65,SUSCEPTIBLE,False,0.0463,0.1923,0.0282,0.0151
66,SUSCEPTIBLE,False,0.0795,0.052,0.0305,0.0104
67,SUSCEPTIBLE,False,0.0226,0.1855,0.0217,0.0109
68,SUSCEPTIBLE,False,0.0924,0.0611,0.0346,0.0157
69,SUSCEPTIBLE,False,0.0756,0.1541,0.0168,0.0053
70,SUSCEPTIBLE,False,0.0706,0.0647,0.0364,0.0157
71,SUSCEPTIBLE,False,0.0204,0.12,0.0176,0.0151
72,SUSCEPTIBLE,False,0.0499,0.1549,0.0294,0.0132
73,SUSCEPTIBLE,False,0.0907,0.0691,0.0306,0.0123
74,SUSCEPTIBLE,False,0.0479,0.1982,0.037,0.0183
75,SUSCEPTIBLE,False,0.0215,0.1391,0.0206,0.0106
76,SUSCEPTIBLE,False,0.0471,0.0919,0.0265,0.0074
77,SUSCEPTIBLE,False,0.074,0.1469,0.0395,0.01
78,SUSCEPTIBLE,False,0.0356,0.1273,0.0431,0.0106
79,SUSCEPTIBLE,True,0.0684,0.151,0.0311,0.0092
80,SUSCEPTIBLE,False,0.0241,0.0769,0.0496,0.0118
81,SUSCEPTIBLE,False,0.0688,0.1931,0.0352,0.01
82,SUSCEPTIBLE,False,0.0689,0.1467,0.012,0.0178
83,SUSCEPTIBLE,False,0.0874,0.153,0.0218,0.0058
84,SUSCEPTIBLE,False,0.0717,0.1888,0.0485,0.0187
85,SUSCEPTIBLE,False,0.0272,0.0692,0.05,0.0168
86,SUSCEPTIBLE,False,0.0483,0.1656,0.031,0.0099
87,SUSCEPTIBLE,False,0.0698,0.0744,0.0287,0.0051
88,BELIEVE,False,0.0525,0.1467,0.0166,0.0115
89,SUSCEPTIBLE,False,0.0563,0.1841,0.0154,0.0191
90,SUSCEPTIBLE,False,0.0678,0.0902,0.0339,0.0079
91,SUSCEPTIBLE,False,0.0767,0.0762,0.0162,0.0176
92,SUSCEPTIBLE,False,0.0535,0.13,0.0323,0.0098
93,SUSCEPTIBLE,True,0.0506,0.1814,0.0213,0.0081
94,SUSCEPTIBLE,False,0.0721,0.1408,0.0214,0.0059
95,SUSCEPTIBLE,False,0.0307,0.1359,0.026,0.008
96,SUSCEPTIBLE,False,0.087,0.1322,0.0363,0.0151
97,SUSCEPTIBLE,False,0.0896,0.1432,0.0482,0.0051
98,SUSCEPTIBLE,False,0.0241,0.0527,0.0114,0.0094
99,SUSCEPTIBLE,False,0.0529,0.1115,0.0386,0.0171
