agent_id,initial_state,is_influential,prob_share,prob_skeptic,prob_educate,prob_convince
44,SUSCEPTIBLE,False,0.0524,0.1277,0.0273,0.0199
45,SUSCEPTIBLE,False,0.0463,0.0557,0.0339,0.0106
46,SUSCEPTIBLE,True,0.0644,0.174,0.0309,0.0097
47,SUSCEPTIBLE,False,0.0998,0.0526,0.0334,0.0153
48,SUSCEPTIBLE,False,0.0592,0.0963,0.0188,0.0101
49,SUSCEPTIBLE,False,0.0231,0.0559,0.0301,0.0197
50,SUSCEPTIBLE,False,0.0886,0.1631,0.0237,0.0132
51,SUSCEPTIBLE,False,0.0828,0.0964,0.0384,0.0123
52,SUSCEPTIBLE,False,0.0316,0.1886,0.0162,0.0153
53,SUSCEPTIBLE,False,0.0293,0.1695,0.0147,0.0124
54,SUSCEPTIBLE,False,0.0759,0.1506,0.0157,0.0081
55,SUSCEPTIBLE,False,0.0872,0.0623,0.0425,0.0156
56,SUSCEPTIBLE,False,0.0746,0.1995,0.0188,0.0107
57,SUSCEPTIBLE,False,0.0233,0.0603,0.0181,0.0159
58,SUSCEPTIBLE,False,0.0862,0.0551,0.0205,0.005
59,SUSCEPTIBLE,False,0.0659,0.1945,0.0467,0.0159
60,SUSCEPTIBLE,False,0.023,0.1829,0.0412,0.0133
61,SUSCEPTIBLE,True,0.0649,0.1469,0.0122,0.0086
62,SUSCEPTIBLE,False,0.0987,0.1474,0.0226,0.0057
63,SUSCEPTIBLE,False,0.0972,0.1339,0.0267,0.016
64,SUSCEPTIBLE,False,0.028,0.0749,0.0448,0.006
65,SUSCEPTIBLE,False,0.0954,0.0729,0.0468,0.0098
66,SUSCEPTIBLE,False,0.0921,0.0808,0.0256,0.006
67,SUSCEPTIBLE,False,0.0532,0.1785,0.0434,0.0154
68,SUSCEPTIBLE,False,0.0629,0.1046,0.0498,0.009
69,SUSCEPTIBLE,False,0.0591,0.1605,0.0189,0.0153
70,SUSCEPTIBLE,False,0.0707,0.1708,0.0375,0.0097
71,SUSCEPTIBLE,False,0.0635,0.1429,0.0386,0.0088
72,SUSCEPTIBLE,False,0.0372,0.058,0.0401,0.0154
73,SUSCEPTIBLE,False,0.0333,0.166,0.0442,0.0145
74,SUSCEPTIBLE,False,0.0252,0.153,0.0223,0.014
75,SUSCEPTIBLE,False,0.0655,0.1513,0.0443,0.0081
76,SUSCEPTIBLE,False,0.0685,0.0883,0.0161,0.0112
77,SUSCEPTIBLE,False,0.0291,0.0522,0.0218,0.0162
78,SUSCEPTIBLE,False,0.0581,0.0681,0.0165,0.0145
79,SUSCEPTIBLE,True,0.0211,0.1191,0.0483,0.0094
80,SUSCEPTIBLE,False,0.0941,0.0614,0.02,0.0054
81,SUSCEPTIBLE,False,0.0976,0.113,0.0299,0.0131
82,SUSCEPTIBLE,False,0.0983,0.0924,0.0296,0.0173
83,SUSCEPTIBLE,False,0.0894,0.131,0.0226,0.0059
84,SUSCEPTIBLE,False,0.0284,0.1371,0.0153,0.0159
85,SUSCEPTIBLE,False,0.0607,0.0735,0.0447,0.0187
86,SUSCEPTIBLE,False,0.0777,0.0792,0.01,0.007
87,SUSCEPTIBLE,False,0.0869,0.07,0.0226,0.0067
88,SUSCEPTIBLE,False,0.0861,0.1842,0.0419,0.0189
89,SUSCEPTIBLE,False,0.0402,0.1617,0.0252,0.0194
90,SUSCEPTIBLE,False,0.0928,0.168,0.0279,0.0073
91,SUSCEPTIBLE,False,0.0997,0.1446,0.03,0.006
92,SUSCEPTIBLE,False,0.0623,0.1186,0.0343,0.0098
93,SUSCEPTIBLE,False,0.0971,0.054,0.0437,0.0111
94,SUSCEPTIBLE,False,0.0284,0.1457,0.0454,0.0187
95,SUSCEPTIBLE,False,0.0532,0.0552,0.0413,0.0195
96,SUSCEPTIBLE,False,0.0951,0.0756,0.0301,0.0109
97,SUSCEPTIBLE,False,0.0407,0.1878,0.023,0.0074
98,SUSCEPTIBLE,False,0.0702,0.0939,0.0483,0.0095
99,SUSCEPTIBLE,False,0.0732,0.0537,0.0332,0.0113
